Point,Total,New,Date
1,0,0,Jan-01
1.5,0,0,Jan-15
2,1,0,Feb-01
2.5,3,0,Feb-15
3,3,0,Mar-01
3.5,90,7,Mar-15
4,1397,146,Apr-01
4.5,11438,1075,Apr-15
5,35043,1993,May-01
5.5,81970,3967,May-15
6,190535,8392,Jun-01
6.5,332424,11502,Jun-15
7,585493,18653,Jul-01
